node,inflow,supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,constraint_ok
1372,0.0,0.0,0.0,5e-13,0.0,5e-13,True
1373,74.473252,0.0,0.0,74.473252,74.473252,74.473252,True
1374,31.2206455000015,0.0,0.0,31.220646,31.2206455000015,31.220646,True
1375,21.242096,0.0,0.0,21.242096,21.242096,21.242096,True
1376,5e-13,0.0,0.0,5e-13,5e-13,5e-13,True
1377,86.708868,0.0,0.0,86.70886799,86.708868,86.70886799,True
1378,78.7540281,0.0,0.0,78.754028,78.7540281,78.754028,True
1379,204.47302,0.0,0.0,204.473019,204.47302,204.473019,True
1380,3.40286,0.0,0.0,3.402860000001001,3.40286,3.402860000001001,True
1381,0.5003209,0.0,0.0,0.5003209,0.5003209,0.5003209,True
1382,2e-12,0.0,0.0,2e-12,2e-12,2e-12,True
1383,0.38486223,0.0,0.0,0.38486223,0.38486223,0.38486223,True
1384,34.2559862,0.0,0.0,34.255986,34.2559862,34.255986,True
1385,14.172607,0.0,0.0,14.172607,14.172607,14.172607,True
1386,0.0,0.0,0.0,0.0,0.0,0.0,True
1387,1.1930729,0.0,0.0,1.1930729,1.1930729,1.1930729,True
1388,0.0,0.0,0.0,0.0,0.0,0.0,True
1389,6947.7468,0.0,0.0,6947.7468,6947.7468,6947.7468,True
1390,0.0,0.0,0.0,0.0,0.0,0.0,True
1391,66.958825,0.0,0.0,66.95882499999999,66.958825,66.95882499999999,True
1392,0.0,0.0,0.0,0.0,0.0,0.0,True
1393,225.914123,0.0,0.0,225.91412677,225.914123,225.91412677,True
1394,51.616653,0.0,0.0,51.616653,51.616653,51.616653,True
1395,29.041969,0.0,0.0,29.041968500000003,29.041969,29.041968500000003,True
